id,symbol,shares,avg_cost,broker
holding1,0050,200,96.60,Mega
holding2,2301,1,174.00,Mega
holding3,2316,60,133.83,Mega
holding4,2317,400,218.53,Mega
holding5,2327,160,281.13,Mega
holding6,2330,175,1855.00,Mega
holding7,2357,25,569.00,Mega
holding8,2376,355,244.22,Mega
holding9,2382,180,273.94,Mega
holding10,2408,50,353.00,Mega
holding11,2449,100,311.50,Mega
holding12,2454,5,1455.00,Mega
holding13,2472,100,239.00,Mega
holding14,2610,1000,19.30,Mega
holding15,2884,500,32.35,Mega
holding16,2912,200,233.75,Mega
holding17,3008,2,3240.00,Mega
holding18,3163,60,606.00,Mega
holding19,3227,70,226.00,Mega
holding20,3231,350,151.14,Mega
holding21,3293,25,757.00,Mega
holding22,3376,30,209.00,Mega
holding23,3533,5,2390.00,Mega
holding24,3583,12,843.00,Mega
holding25,3665,4,2060.00,Mega
holding26,3711,125,366.08,Mega
holding27,4979,108,329.35,Mega
holding28,5439,100,298.00,Mega
holding29,6187,10,1080.00,Mega
holding30,6197,170,134.71,Mega
holding31,6239,120,152.92,Mega
holding32,6274,15,513.00,Mega
holding33,6510,4,3525.00,Mega
holding34,6640,18,738.00,Mega
holding35,6830,13,740.77,Mega
holding36,7769,4,7660.00,Mega
holding37,7801,3,196.33,Mega
holding38,8299,2,1770.00,Mega
