date,symbol,target_price,recommender,target_reached,reached_days
2026/5/22,6239,362.50,SB,false,
2026/5/22,3443,6040.00,B,false,
2026/5/21,4541,48.00,TB,false,
2026/5/21,3088,150.00,TB,false,
2026/5/21,2645,172.00,TB,false,
2026/5/20,3702,143.00,B,false,
2026/5/20,1476,352.00,TB,false,
2026/5/20,2949,65.00,TB,false,
2026/5/20,8111,69.00,TB,false,
2026/5/20,2891,59.00,TB,false,
2026/5/19,6902,200.00,TB,false,
2026/5/19,2359,181.00,TB,false,
2026/5/19,5388,100.00,TB,false,
2026/5/18,1503,210.00,TB,false,
2026/5/18,6414,350.00,TB,true,4
2026/5/18,2890,33.00,TB,false,
2026/5/18,6177,50.00,TB,false,
2026/5/15,8462,156.00,TB,false,
2026/5/15,2034,22.00,TB,false,
2026/5/15,1326,58.00,TB,false,
2026/5/15,2480,175.00,TB,false,
2026/5/15,6664,510.00,TB,false,
2026/5/15,2327,610.00,B,false,
2026/5/15,2317,260.00,B,false,
2026/5/15,2515,14.00,TB,false,
2026/5/15,2891,59.00,TB,false,
2026/5/15,5534,83.00,TB,false,
2026/5/14,7769,11550.00,SB,false,
2026/5/14,6223,8100.00,SB,false,
2026/5/14,2762,97.00,B,false,
2026/5/14,4571,207.00,TB,true,1
2026/5/13,6531,1150.00,TB,false,
2026/5/13,4966,900.00,B,false,
2026/5/13,2615,89.00,B,false,
2026/5/13,7750,4000.00,B,false,
2026/5/13,6166,135.00,B,false,
2026/5/13,3702,143.00,B,false,
2026/5/13,2404,1340.00,B,false,
2026/5/13,5536,1190.00,B,false,
2026/5/12,1605,45.00,B,false,
2026/5/12,8069,238.00,B,false,
2026/5/12,2049,466.00,B,false,
2026/5/12,6415,608.00,B,false,
2026/5/12,2385,155.00,TB,false,
2026/5/12,4566,76.00,TB,false,
2026/5/12,7734,5125.00,B,false,
2026/5/12,3680,700.00,TB,false,
2026/5/12,4961,192.00,TB,false,
2026/5/12,2408,407.00,B,false,
2026/5/12,1802,77.00,TB,false,
2026/5/11,4551,153.00,TB,true,1
2026/5/11,6829,275.00,TB,false,
2026/5/11,2344,137.00,B,false,
2026/5/11,3596,221.00,B,false,
2026/5/11,2049,337.00,B,true,1
2026/5/11,2451,425.00,B,false,
2026/5/11,8210,1700.00,B,false,
2026/5/11,1519,1150.00,B,false,
2026/5/11,5289,2085.00,B,false,
2026/5/8,2395,550.00,B,false,
2026/5/8,6285,270.00,TB,true,2
2026/5/8,3034,518.00,B,false,
2026/5/8,6526,810.00,TB,false,
2026/5/8,2383,6600.00,B,false,
2026/5/8,2303,120.00,B,false,
2026/5/7,2606,78.00,B,false,
2026/5/7,3260,531.00,B,false,
2026/5/7,5388,100.00,B,false,
2026/5/7,8299,3080.00,B,false,
2026/5/7,3661,6080.00,B,false,
2026/5/7,2884,36.00,TB,false,
2026/5/6,3162,95.00,TB,true,1
2026/5/6,4540,92.10,B,false,
2026/5/6,4991,822.00,TB,false,
2026/5/6,3044,615.00,B,false,
2026/5/6,5347,165.00,TB,true,1
2026/5/5,3264,239.00,B,true,1
2026/5/5,2449,397.00,B,false,
2026/5/5,2360,3115.00,B,false,
2026/5/5,2454,3870.00,B,true,4
2026/5/5,4979,870.00,B,false,
2026/5/5,2345,3000.00,B,false,
2026/5/4,3105,610.00,TB,false,
2026/5/4,2480,175.00,B,false,
2026/5/4,8996,1620.00,B,false,
2026/5/4,2439,95.00,B,false,
